"page_title","text","url","page_url"
NA,"","http://www.obsruitenvelder.nl/downloads/Gidsen/2008-2009 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"2008-2009 schoolgids.pdf","http://www.obsruitenvelder.nl/downloads/Gidsen/2008-2009 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"","http://www.obsruitenvelder.nl/downloads/Gidsen/2009-2010 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"2009-2010 schoolgids.pdf","http://www.obsruitenvelder.nl/downloads/Gidsen/2009-2010 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"","http://www.obsruitenvelder.nl/downloads/Gidsen/2010-2011 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"2010-2011 schoolgids.pdf","http://www.obsruitenvelder.nl/downloads/Gidsen/2010-2011 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"","http://www.obsruitenvelder.nl/downloads/Gidsen/2011-2012 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"2011-2012 schoolgids.pdf","http://www.obsruitenvelder.nl/downloads/Gidsen/2011-2012 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"","http://www.obsruitenvelder.nl/downloads/Gidsen/2012 basisdeel schoolgids stichting OPOS.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"2012 basisdeel schoolgids stichting OPOS.pdf","http://www.obsruitenvelder.nl/downloads/Gidsen/2012 basisdeel schoolgids stichting OPOS.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"","http://www.obsruitenvelder.nl/downloads/Gidsen/2012-2013 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"2012-2013 schoolgids.pdf","http://www.obsruitenvelder.nl/downloads/Gidsen/2012-2013 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"","http://www.obsruitenvelder.nl/downloads/Gidsen/2013-2014 activiteitenrooster.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"2013-2014 activiteitenrooster.pdf","http://www.obsruitenvelder.nl/downloads/Gidsen/2013-2014 activiteitenrooster.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"","http://www.obsruitenvelder.nl/downloads/Gidsen/2013-2014 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"2013-2014 schoolgids.pdf","http://www.obsruitenvelder.nl/downloads/Gidsen/2013-2014 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"","http://www.obsruitenvelder.nl/downloads/Gidsen/2014-2015 activiteitenrooster.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"2014-2015 activiteitenrooster.pdf","http://www.obsruitenvelder.nl/downloads/Gidsen/2014-2015 activiteitenrooster.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"","http://www.obsruitenvelder.nl/downloads/Gidsen/2014-2015 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"2014-2015 schoolgids.pdf","http://www.obsruitenvelder.nl/downloads/Gidsen/2014-2015 schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"","http://www.obsruitenvelder.nl/downloads/Gidsen/2014-2015 schoolondersteuningsprofiel.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"2014-2015 schoolondersteuningsprofiel.pdf","http://www.obsruitenvelder.nl/downloads/Gidsen/2014-2015 schoolondersteuningsprofiel.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"","http://www.obsruitenvelder.nl/downloads/Gidsen/2015-2016-schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
NA,"2015-2016-schoolgids.pdf","http://www.obsruitenvelder.nl/downloads/Gidsen/2015-2016-schoolgids.pdf","http://www.obsruitenvelder.nl/catalog.php?dir=%2Fdownloads%2FGidsen&hide="
