"VESTIGINGSNUMMER","url"
"00AR00","http://bsdemaasparel.nl/uploads/documents/schoolgids_2017_2018_1.pdf"
"00BA00",NA
"00BB00","http://www.obsletterwies.nl/Portals/0/School/schoolgids%20Letterwies%202017-2018%20.pdf"
"00BS00",NA
"00BW00","http://jpsdevlieger.nl/images/M_images/Schoolgids-plus-voorblad-de-Vlieger-2017-2018.pdf"
"00CD00",NA
"00CG00",NA
"00CS00",NA
"00CU00","http://zilverlinde.nu/nieuw/wp-content/uploads/2013/09/schoolgids-2013-2014.pdf"
"00CV00","http://schoolmatthijsje.nl/wordpress/wp-content/uploads/2017/09/schoolgids-algemene-deel.pdf"
"00DA00",NA
"00DD00","http://www.startnest.nl/wp-content/uploads/2012/12/Schoolgids-2017-2018.pdf"
"00DM00",NA
"00DN00","http://www.obsdebundeling.nl/files/SCHOOLGIDS-2015-2019-obs-de-bundeling-website-def.pdf"
"00DW00",NA
"00DX00",NA
"00DY00","http://www.hetsterrenlicht.nl/Media/view/20054/schoolgids+het+sterrenlicht+2017-2018.pdf"
"00DZ00","http://agnietenschool.nl/wp-content/uploads/sites/11/2017/08/SchoolgidsAS.pdf"
"00EB00","https://www.hettelraam.nl/syndeo_data/media/2017-2018_info-nieuws/schoolgids_2017-2018__versie_1_28-08-2017_.pdf"
"00EI00","https://www.groenvanprinstererklaaswaal.nl/files/groenvanprinstererschool/schoolgids-klaaswaal-2016-2017-web.pdf"
"00FE00","http://gbsdehalm.nl/wp-content/uploads/2016/02/schoolgids-GBS-De-Halm-2016-2017.pdf"
"00FG00",NA
"00FI00","https://www.pork.nl/upload/197-schoolgids_specifiek_Pork_2017-2018.pdf"
"00FQ00","http://www.montessorischooldekraal.nl/document/65/Schoolgids de Kraal 2016-2017.pdf"
"00GQ00",NA
"00GR00",NA
"00GV00",NA
"00GX00","http://www.jacobusschool.nl/wp-content/uploads/2016/08/schoolgids-2016-2017.pdf"
"00GZ00","http://mbsdefontein.nl/wp-content/uploads/2017/11/Schoolgids-MBS-De_Fontein-17-18-web.pdf"
"00HA00",NA
"00HH00",NA
"00HZ00",NA
"00IF00",NA
