"VESTIGINGSNUMMER","url","PROVINCIE","BEVOEGD.GEZAG.NUMMER","BRIN.NUMMER","VESTIGINGSNAAM","STRAATNAAM","HUISNUMMER.TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","STRAATNAAM.CORRESPONDENTIEADRES","HUISNUMMER.TOEVOEGING.CORRESPONDENTIEADRES","POSTCODE.CORRESPONDENTIEADRES","PLAATSNAAM.CORRESPONDENTIEADRES","NODAAL.GEBIED.CODE","NODAAL.GEBIED.NAAM","RPA.GEBIED.CODE","RPA.GEBIED.NAAM","WGR.GEBIED.CODE","WGR.GEBIED.NAAM","COROPGEBIED.CODE","COROPGEBIED.NAAM","ONDERWIJSGEBIED.CODE","ONDERWIJSGEBIED.NAAM","RMC.REGIO.CODE","RMC.REGIO.NAAM"
"00AR00","http://bsdemaasparel.nl/uploads/documents/schoolgids_2017_2018_1.pdf","Limburg",41797,"00AR","""Basisschool """"De Maasparel""""""","Nieuwendijk","22","6107 AW","STEVENSWEERT",1641,"MAASGOUW","Rooms-Katholiek",475551618,"www.bsdemaasparel.nl","Nieuwendijk","22","6107 AW","STEVENSWEERT",77,"Roermond",31,"Roermond",39,"Midden-Limburg",38,"Midden-Limburg",24,"Roermond en omstreken",38,"Gewest Limburg-Noord"
"00BA00",NA,"Gelderland",41530,"00BA","Openbare Basisschool De Klimboom","Schaapsakker","1","6666 EB","HETEREN",1734,"OVERBETUWE","Openbaar",264723252,"www.obsdeklimboom.nl","Schaapsakker","1","6666 EB","HETEREN",26,"Arnhem",11,"IJssel en Rijn",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",9,"Arnhem en omstreken",14,"Arnhem/Nijmegen"
"00BB00","http://www.obsletterwies.nl/Portals/0/School/schoolgids%20Letterwies%202017-2018%20.pdf","Groningen",41613,"00BB","Openbare Basisschool Letterwies","Meidoornstraat","20","9944 AR","NIEUWOLDA",1895,"OLDAMBT","Openbaar",596541265,"www.obsletterwies.nl","Postbus","32","9670 AA","WINSCHOTEN",5,"Winschoten",2,"Oost-Groningen",1,"Oost-Groningen",1,"Oost-Groningen",2,"Oost-Groningen",1,"Oost-Groningen"
"00BW00","http://jpsdevlieger.nl/images/M_images/Schoolgids-plus-voorblad-de-Vlieger-2017-2018.pdf","Limburg",41516,"00BW","Jenaplanschool De Vlieger","Kleine Steeg","8","6131 KJ","SITTARD",1883,"SITTARD-GELEEN","Algemeen bijzonder",464526667,"www.jpsdevlieger.nl","Kleine Steeg","8","6131 KJ","SITTARD",78,"Sittard",32,"Westelijke Mijnstreek",40,"Westelijke Mijnstreek",39,"Zuid-Limburg",25,"Zuid-Limburg",39,"Gewest Zuid-Limburg"
"00CD00",NA,"Noord-Brabant",41228,"00CD","Basisschool Lockaert","Bessenlaan","50-52","5345 JG","OSS",828,"OSS","Algemeen bijzonder",412691436,"www.bsdelockaert.nl","Postbus","481","5340 AL","OSS",72,"Oss",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",12,"Noord-Noord-Brabant",36,"Noord-Oost-Brabant"
"00CG00",NA,"Limburg",41516,"00CG","De Harlekijn","Strijthagerweg","10","6372 AC","LANDGRAAF",882,"LANDGRAAF","Openbaar",455325761,"www.obsharlekijn.net","Postbus","31044","6370 AA","LANDGRAAF",79,"Heerlen",33,"Parkstad Limburg",41,"Oostelijk Zuid-Limburg",39,"Zuid-Limburg",25,"Zuid-Limburg",39,"Gewest Zuid-Limburg"
"00CS00",NA,"Groningen",41025,"00CS","De Leilinde","Burg. H.J. Wichersstraat","14","9671 JA","WINSCHOTEN",1895,"OLDAMBT","Gereformeerd vrijgemaakt",597422953,"                                                                                ","Burg. H.J. Wichersstraat","14","9671 JA","WINSCHOTEN",5,"Winschoten",2,"Oost-Groningen",1,"Oost-Groningen",1,"Oost-Groningen",2,"Oost-Groningen",1,"Oost-Groningen"
"00CU00","http://zilverlinde.nu/nieuw/wp-content/uploads/2013/09/schoolgids-2013-2014.pdf","Noord-Brabant",41246,"00CU","Basisschool Zilverlinde","Melis Stokelaan","42","4707 HS","ROOSENDAAL",1674,"ROOSENDAAL","Antroposofisch",165560377,"www.zilverlinde.nu","Postbus","306","4700 AH","ROOSENDAAL",65,"Roosendaal en Nispen",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"00CV00","http://schoolmatthijsje.nl/wordpress/wp-content/uploads/2017/09/schoolgids-algemene-deel.pdf","Friesland",20210,"00CV","School Matthijsje","Oosterstreek","23","8388 NA","OOSTERSTREEK",98,"WESTSTELLINGWERF","Algemeen bijzonder",561432690,"www.schoolmatthijsje.nl","Postbus","8","8390 AA","NOORDWOLDE FR",8,"Heerenveen",4,"Fryslân",6,"Friesland-Oost",6,"Zuidoost-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"00DA00",NA,"Friesland",30051,"00DA","Christelijke Basisschool Betrouwen","Mjumster Wei","12","9243 SJ","BAKKEVEEN",86,"OPSTERLAND","Protestants-Christelijk",516541463,"www.betrouwen.nl","Mjumster Wei","12","9243 SJ","BAKKEVEEN",7,"Smallingerland",4,"Fryslân",6,"Friesland-Oost",6,"Zuidoost-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
